Name,Country,District,DS Division,Latitude,Longitude,Language
Addalachchenai,LK,Ampara,Addalachchenai,8.7542,80.4982,en
Akkaraipattu,LK,Ampara,Akkaraipattu,8.7542,80.4982,en
Ampara,LK,Ampara,Ampara,8.7542,80.4982,en
Galnewa,LK,Anuradhapura,Galnewa,8.7542,80.4982,en
Galenbindunuwewa,LK,Anuradhapura,Galenbindunuwewa,8.7542,80.4982,en
Horowpothana,LK,Anuradhapura,Horowpothana,8.7542,80.4982,en
Badulla,LK,Badulla,Badulla,8.7542,80.4982,en 
Bandarawela,LK,Badulla,Bandarawela,8.7542,80.4982,en
Ella,LK,Badulla,Ella,8.7542,80.4982,en
Eravur Pattu,LK,Batticaloa,Eravur Pattu,8.7542,80.4982,en
Kattankudy,LK,Batticaloa,Kattankudy,8.7542,80.4982,en
Koralai Pattu,LK,Batticaloa,Koralai Pattu,8.7542,80.4982,en
Colombo,LK,Colombo,Colombo,8.7542,80.4982,en
Dehiwala,LK,Colombo,Dehiwala,8.7542,80.4982,en
Homagama,LK,Colombo,Homagama,8.7542,80.4982,en
Akmeemana,LK,Galle,Akmeemana,8.7542,80.4982,en
Ambalangoda,LK,Galle,Ambalangoda,8.7542,80.4982,en
Baddegama,LK,Galle,Baddegama,8.7542,80.4982,en
Attanagalla,LK,Gampaha,Attanagalla,8.7542,80.4982,en
Biyagama,LK,Gampaha,Biyagama,8.7542,80.4982,en
Divulapitiya,LK,Gampaha,Divulapitiya,8.7542,80.4982,en
Ambalantota,LK,Hambantota,Ambalantota,8.7542,80.4982,en
Angunakolapelessa,LK,Hambantota,Angunakolapelessa,8.7542,80.4982,en
Beliatta,LK,Hambantota,Beliatta,8.7542,80.4982,en
Delft,LK,Jaffna,Delft,8.7542,80.4982,en 
Jaffna,LK,Jaffna,Jaffna,8.7542,80.4982,en 
Nallur,LK,Jaffna,Nallur,8.7542,80.4982,en
Agalawatta,LK,Kalutara,Agalawatta,8.7542,80.4982,en
Bandaragama,LK,Kalutara,Bandaragama,8.7542,80.4982,en
Beruwala,LK,Kalutara,Beruwala,8.7542,80.4982,en
Akurana,LK,Kandy,Akurana,8.7542,80.4982,en
Delthota,LK,Kandy,Delthota,8.7542,80.4982,en
Doluwa,LK,Kandy,Beruwala,8.7542,80.4982,en
Aranayaka,LK,Kegalle,Aranayaka,8.7542,80.4982,en
Bulathkohupitiya,LK,Kegalle,Bulathkohupitiya,8.7542,80.4982,en
Dehiovita,LK,Kegalle,Dehiovita,8.7542,80.4982,en
Kandavalai,LK,Kilinochchi,Kandavalai,8.7542,80.4982,en
Karachchi,LK,Kilinochchi,Karachchi,8.7542,80.4982,en
Pachchilaipalli,LK,Kilinochchi,Pachchilaipalli,8.7542,80.4982,en
Alawwa,LK,Kurunegala,Alawwa,8.7542,80.4982,en
Ambanpola,LK,Kurunegala,Ambanpola,8.7542,80.4982,en
Bamunakotuwa,LK,Kurunegala,Bamunakotuwa,8.7542,80.4982,en
Madhu,LK,Mannar,Madhu,8.7542,80.4982,en
Mannar,LK,Mannar,Mannar,8.7542,80.4982,en
Manthai West,LK,Mannar,Manthai West,8.7542,80.4982,en
Ambanganga Korale,LK,Matale,Ambanganga Korale,8.7542,80.4982,en
Dambulla,LK,Matale,Dambulla,8.7542,80.4982,en
Galewela,LK,Matale,Galewela,8.7542,80.4982,en
Akuressa,LK,Matara,Akuressa,8.7542,80.4982,en
Athuraliya,LK,Matara,Athuraliya,8.7542,80.4982,en
Devinuwara,LK,Matara,Devinuwara,8.7542,80.4982,en
Badalkumbura,LK,Moneragala,Badalkumbura,8.7542,80.4982,en
Bibile,LK,Moneragala,Bibile,8.7542,80.4982,en
Buttala,LK,Moneragala,Buttala,8.7542,80.4982,en
Manthai East,LK,Mullaitivu,Manthai East,8.7542,80.4982,en
Maritimepattu,LK,Mullaitivu,Maritimepattu,8.7542,80.4982,en
Oddusuddan,LK,Mullaitivu,Oddusuddan,8.7542,80.4982,en
Ambagamuwa,LK,Nuwara Eliya,Ambagamuwa,8.7542,80.4982,en
Hanguranketha,LK,Nuwara Eliya,Hanguranketha,8.7542,80.4982,en
Kothmale,LK,Nuwara Eliya,Kothmale,8.7542,80.4982,en
Dimbulagala,LK,Polonnaruwa,Dimbulagala,8.7542,80.4982,en
Elahera,LK,Polonnaruwa,Elahera,8.7542,80.4982,en
Hingurakgoda,LK,Polonnaruwa,Hingurakgoda,8.7542,80.4982,en
Anamaduwa,LK,Puttalam,Anamaduwa,8.7542,80.4982,en
Arachchikattuwa,LK,Puttalam,Arachchikattuwa,8.7542,80.4982,en
Chilaw,LK,Puttalam,Chilaw,8.7542,80.4982,en
Ayagama,LK,Ratnapura,Ayagama,8.7542,80.4982,en
Balangoda,LK,Ratnapura,Balangoda,8.7542,80.4982,en
Eheliyagoda,LK,Ratnapura,Eheliyagoda,8.7542,80.4982,en
Gomarankadawala,LK,Trincomalee,Gomarankadawala,8.7542,80.4982,en
Kantalai,LK,Trincomalee,Kantalai,8.7542,80.4982,en
Kinniya,LK,Trincomalee,Kinniya,8.7542,80.4982,en
Vavuniya,LK,Vavuniya,Vavuniya,8.7542,80.4982,en
Vavuniya North,LK,Vavuniya,Vavuniya North,8.7542,80.4982,en
Vavuniya South,LK,Vavuniya,Vavuniya South,8.7542,80.4982,en
